,inning,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,x,y,z,extras,wicket,wicket_method
207,1,7133,30102,Ricky Ponting,Zaheer Khan,32.3,0.0,1.0,0.0,0.0,0.0,1.0,,
208,1,7133,30102,Ricky Ponting,Zaheer Khan,32.3,1.0,1.0,132.0,134.0,7.0,0.0,,
209,1,6513,30102,Damien Martyn,Zaheer Khan,32.4,0.0,1.0,0.0,0.0,0.0,1.0,,
210,1,6513,30102,Damien Martyn,Zaheer Khan,32.4,4.0,4.0,248.0,36.0,1.0,0.0,,
211,1,6513,30102,Damien Martyn,Zaheer Khan,32.5,1.0,1.0,273.0,110.0,2.0,0.0,,
212,1,7133,30102,Ricky Ponting,Zaheer Khan,32.6,1.0,1.0,217.0,128.0,1.0,0.0,,
213,1,7133,31034,Ricky Ponting,Dinesh Mongia,33.1,0.0,0.0,0.0,0.0,0.0,0.0,,
214,1,7133,31034,Ricky Ponting,Dinesh Mongia,33.2,0.0,0.0,0.0,0.0,0.0,0.0,,
215,1,7133,31034,Ricky Ponting,Dinesh Mongia,33.3,1.0,1.0,224.0,281.0,4.0,0.0,,
216,1,6513,31034,Damien Martyn,Dinesh Mongia,33.4,0.0,0.0,0.0,0.0,0.0,0.0,,
217,1,6513,31034,Damien Martyn,Dinesh Mongia,33.5,0.0,0.0,0.0,0.0,0.0,0.0,,
218,1,6513,31034,Damien Martyn,Dinesh Mongia,33.6,2.0,2.0,241.0,301.0,4.0,0.0,,
219,1,7133,36084,Ricky Ponting,Yuvraj Singh,34.1,1.0,1.0,117.0,162.0,7.0,0.0,,
220,1,6513,36084,Damien Martyn,Yuvraj Singh,34.2,1.0,1.0,135.0,284.0,5.0,0.0,,
221,1,7133,36084,Ricky Ponting,Yuvraj Singh,34.3,0.0,0.0,0.0,0.0,0.0,0.0,,
222,1,7133,36084,Ricky Ponting,Yuvraj Singh,34.4,1.0,1.0,228.0,66.0,1.0,0.0,,
223,1,6513,36084,Damien Martyn,Yuvraj Singh,34.5,4.0,4.0,324.0,247.0,3.0,0.0,,
224,1,6513,36084,Damien Martyn,Yuvraj Singh,34.6,1.0,1.0,90.0,196.0,6.0,0.0,,
225,1,6513,31034,Damien Martyn,Dinesh Mongia,35.1,1.0,1.0,119.0,157.0,7.0,0.0,,
226,1,7133,31034,Ricky Ponting,Dinesh Mongia,35.2,1.0,1.0,133.0,280.0,5.0,0.0,,
227,1,6513,31034,Damien Martyn,Dinesh Mongia,35.3,0.0,0.0,0.0,0.0,0.0,0.0,,
228,1,6513,31034,Damien Martyn,Dinesh Mongia,35.4,0.0,0.0,0.0,0.0,0.0,0.0,,
229,1,6513,31034,Damien Martyn,Dinesh Mongia,35.5,0.0,0.0,0.0,0.0,0.0,0.0,,
230,1,6513,31034,Damien Martyn,Dinesh Mongia,35.6,1.0,1.0,226.0,269.0,4.0,0.0,,
